iter	Passed	Remaining
0	189	189586
1	285	142385
2	383	127507
3	474	118269
4	572	113876
5	661	109638
6	756	107351
7	842	104461
8	937	103243
9	1034	102387
10	1150	103428
11	1256	103413
12	1349	102442
13	1436	101191
14	1522	99961
15	1667	102563
16	1761	101878
17	1847	100799
18	1938	100065
19	2025	99241
20	2114	98576
21	2221	98734
22	2320	98556
23	2415	98220
24	2507	97797
25	2607	97696
26	2714	97814
27	2834	98385
28	2927	98027
29	3027	97886
30	3137	98079
31	3222	97472
32	3313	97091
33	3406	96791
34	3497	96426
35	3589	96115
36	3682	95838
37	3772	95510
38	3866	95274
39	3986	95680
40	4065	95086
41	4152	94712
42	4257	94752
43	4368	94910
44	4477	95021
45	4594	95287
46	4691	95124
47	4790	95017
48	4887	94850
49	4975	94530
50	5063	94213
51	5148	93852
52	5236	93570
53	5325	93288
54	5412	92993
55	5493	92605
56	5591	92509
57	5698	92558
58	5840	93157
59	5941	93083
60	6046	93076
61	6156	93134
62	6257	93066
63	6333	92633
64	6422	92383
65	6511	92148
66	6598	91883
67	6698	91803
68	6803	91801
69	6909	91799
70	7019	91843
71	7115	91713
72	7227	91784
73	7316	91551
74	7416	91467
75	7513	91345
76	7621	91355
77	7745	91561
78	7854	91567
79	7961	91557
80	8062	91477
81	8162	91385
82	8279	91472
83	8387	91463
84	8477	91253
85	8570	91082
86	8671	91004
87	8769	90879
88	8879	90889
89	9006	91063
90	9105	90958
91	9211	90911
92	9326	90960
93	9424	90833
94	9528	90768
95	9644	90820
96	9737	90645
97	9852	90678
98	9938	90454
99	10037	90341
100	10141	90268
101	10257	90305
102	10358	90209
103	10457	90091
104	10550	89931
105	10658	89889
106	10765	89848
107	10865	89737
108	10959	89586
109	11045	89371
110	11148	89285
111	11230	89042
112	11326	88908
113	11438	88902
114	11559	88957
115	11682	89026
116	11797	89036
117	11914	89057
118	12040	89141
119	12156	89146
120	12274	89169
121	12381	89105
122	12496	89103
123	12596	88989
124	12693	88856
125	12776	88622
126	12867	88450
127	12976	88402
128	13108	88511
129	13220	88475
130	13324	88392
131	13446	88421
132	13537	88246
133	13623	88041
134	13703	87802
135	13801	87677
136	13891	87507
137	13974	87292
138	14059	87088
139	14147	86903
140	14228	86684
141	14327	86567
142	14425	86450
143	14547	86475
144	14650	86389
145	14762	86348
146	14888	86391
147	14980	86237
148	15069	86070
149	15159	85906
150	15281	85917
151	15378	85796
152	15478	85689
153	15572	85548
154	15690	85540
155	15820	85595
156	15964	85717
157	16081	85699
158	16217	85776
159	16332	85746
160	16430	85620
161	16530	85511
162	16624	85365
163	16711	85190
164	16808	85061
165	16903	84924
166	16983	84714
167	17069	84534
168	17165	84403
169	17252	84234
170	17338	84056
171	17440	83956
172	17534	83822
173	17627	83679
174	17729	83583
175	17815	83410
176	17907	83265
177	18092	83550
178	18282	83854
179	18403	83839
180	18504	83731
181	18581	83512
182	18671	83359
183	18752	83163
184	18847	83032
185	18925	82826
186	19003	82620
187	19090	82453
188	19170	82262
189	19256	82094
190	19341	81921
191	19443	81825
192	19528	81655
193	19610	81475
194	19708	81360
195	19820	81303
196	19917	81186
197	20020	81092
198	20114	80962
199	20232	80930
200	20343	80869
201	20447	80777
202	20540	80642
203	20642	80546
204	20737	80420
205	20815	80231
206	20903	80080
207	20996	79947
208	21084	79798
209	21187	79707
210	21274	79551
211	21359	79392
212	21445	79237
213	21532	79087
214	21646	79035
215	21761	78987
216	21878	78945
217	21981	78849
218	22080	78744
219	22191	78679
220	22300	78605
221	22394	78481
222	22498	78392
223	22608	78322
224	22735	78309
225	22837	78212
226	22948	78147
227	23048	78040
228	23169	78007
229	23269	77903
230	23378	77828
231	23469	77692
232	23557	77548
233	23654	77433
234	23761	77350
235	23877	77296
236	23982	77208
237	24098	77154
238	24192	77032
239	24288	76913
240	24380	76782
241	24479	76674
242	24564	76522
243	24650	76377
244	24734	76222
245	24822	76082
246	24915	75957
247	25029	75896
248	25136	75813
249	25229	75689
250	25341	75622
251	25459	75571
252	25554	75450
253	25648	75330
254	25738	75195
255	25814	75023
256	25904	74889
257	25991	74749
258	26084	74627
259	26186	74531
260	26282	74417
261	26397	74355
262	26503	74270
263	26609	74185
264	26723	74119
265	26821	74010
266	26941	73961
267	27040	73856
268	27151	73783
269	27252	73681
270	27335	73534
271	27438	73437
272	27540	73340
273	27634	73221
274	27742	73139
275	27844	73042
276	27951	72957
277	28052	72856
278	28146	72737
279	28247	72636
280	28343	72523
281	28430	72386
282	28515	72246
283	28592	72085
284	28676	71942
285	28789	71871
286	28899	71795
287	28997	71688
288	29104	71603
289	29215	71527
290	29323	71444
291	29417	71327
292	29512	71211
293	29598	71076
294	29685	70943
295	29780	70829
296	29865	70691
297	29954	70563
298	30032	70410
299	30126	70295
300	30219	70177
301	30301	70035
302	30385	69896
303	30473	69769
304	30579	69681
305	30708	69647
306	30811	69551
307	30896	69416
308	30984	69288
309	31065	69145
310	31152	69016
311	31250	68912
312	31352	68814
313	31443	68695
314	31526	68557
315	31606	68413
316	31698	68297
317	31775	68148
318	31865	68025
319	31944	67882
320	32032	67756
321	32111	67614
322	32193	67476
323	32289	67370
324	32375	67241
325	32451	67093
326	32555	67001
327	32636	66865
328	32730	66755
329	32810	66615
330	32898	66492
331	32986	66370
332	33078	66256
333	33160	66122
334	33249	66002
335	33333	65874
336	33434	65778
337	33527	65666
338	33621	65556
339	33702	65423
340	33782	65286
341	33870	65166
342	33955	65039
343	34050	64933
344	34132	64802
345	34221	64683
346	34303	64554
347	34387	64427
348	34476	64310
349	34563	64188
350	34663	64093
351	34770	64009
352	34888	63946
353	34992	63856
354	35089	63753
355	35191	63660
356	35287	63556
357	35386	63458
358	35490	63369
359	35587	63267
360	35694	63181
361	35820	63130
362	35942	63072
363	36056	62999
364	36149	62889
365	36242	62781
366	36330	62663
367	36427	62560
368	36517	62446
369	36603	62325
370	36696	62216
371	36774	62081
372	36859	61959
373	36947	61842
374	37034	61724
375	37123	61608
376	37223	61512
377	37359	61474
378	37469	61394
379	37592	61335
380	37698	61247
381	37807	61165
382	37908	61068
383	38001	60960
384	38088	60842
385	38171	60717
386	38252	60590
387	38334	60466
388	38422	60349
389	38504	60224
390	38580	60090
391	38684	60000
392	38760	59867
393	38850	59754
394	38942	59645
395	39033	59536
396	39126	59429
397	39207	59303
398	39280	59167
399	39381	59072
400	39476	58969
401	39558	58845
402	39645	58729
403	39728	58610
404	39811	58488
405	39894	58368
406	39979	58250
407	40066	58135
408	40141	58003
409	40237	57902
410	40319	57781
411	40406	57668
412	40486	57543
413	40572	57428
414	40655	57308
415	40743	57197
416	40824	57076
417	40906	56955
418	40991	56840
419	41073	56720
420	41159	56606
421	41250	56499
422	41327	56374
423	41411	56257
424	41500	56147
425	41579	56024
426	41662	55908
427	41739	55783
428	41825	55669
429	41922	55571
430	42018	55472
431	42108	55364
432	42197	55256
433	42289	55151
434	42375	55039
435	42464	54931
436	42562	54834
437	42672	54753
438	42784	54674
439	42885	54582
440	43005	54512
441	43125	54443
442	43220	54342
443	43335	54266
444	43422	54156
445	43515	54052
446	43616	53959
447	43742	53896
448	43856	53818
449	43989	53765
450	44091	53672
451	44212	53603
452	44324	53521
453	44425	53427
454	44531	53339
455	44649	53265
456	44758	53181
457	44856	53083
458	44940	52968
459	45029	52860
460	45116	52750
461	45223	52662
462	45348	52595
463	45469	52524
464	45580	52442
465	45697	52365
466	45785	52256
467	45894	52171
468	46002	52083
469	46110	51997
470	46211	51902
471	46316	51811
472	46415	51714
473	46505	51607
474	46592	51496
475	46690	51399
476	46778	51290
477	46866	51181
478	46949	51066
479	47047	50967
480	47178	50905
481	47293	50826
482	47415	50753
483	47519	50660
484	47629	50575
485	47722	50472
486	47811	50363
487	47902	50258
488	47989	50148
489	48087	50050
490	48198	49964
491	48306	49877
492	48398	49773
493	48496	49674
494	48597	49579
495	48691	49477
496	48788	49377
497	48869	49261
498	48951	49147
499	49028	49028
500	49128	48932
501	49239	48847
502	49322	48733
503	49406	48621
504	49502	48522
505	49613	48436
506	49716	48343
507	49803	48235
508	49893	48129
509	49979	48019
510	50053	47898
511	50136	47786
512	50220	47675
513	50305	47565
514	50387	47451
515	50470	47340
516	50559	47234
517	50657	47137
518	50740	47025
519	50822	46912
520	50910	46805
521	50997	46699
522	51076	46583
523	51164	46477
524	51248	46367
525	51321	46248
526	51410	46142
527	51500	46038
528	51593	45936
529	51665	45816
530	51753	45710
531	51840	45604
532	51930	45500
533	52026	45401
534	52109	45291
535	52185	45175
536	52273	45070
537	52343	44949
538	52428	44841
539	52510	44730
540	52591	44620
541	52682	44518
542	52766	44409
543	52845	44296
544	52933	44191
545	53027	44092
546	53102	43976
547	53187	43870
548	53284	43772
549	53371	43667
550	53461	43564
551	53553	43463
552	53647	43364
553	53721	43248
554	53814	43148
555	53893	43037
556	53979	42931
557	54071	42830
558	54146	42716
559	54248	42623
560	54344	42525
561	54432	42422
562	54507	42308
563	54596	42206
564	54683	42101
